target,model,permutation_index,mae_skill_vs_mean_baseline
pinning_fraction,Ridge,43,-1.977514943944387
pinning_fraction,Ridge,44,-2.120956221875985
pinning_fraction,Ridge,45,-1.9096700238167614
pinning_fraction,Ridge,46,-0.5863065882304808
pinning_fraction,Ridge,47,-1.2688285120745473
pinning_fraction,Ridge,48,-2.092341713504078
pinning_fraction,Ridge,49,-1.6584385609649195
pinning_fraction,Ridge,50,-2.3447320362579083
pinning_fraction,Ridge,51,-1.4452557340179433
pinning_fraction,Ridge,52,-2.2093320982688973
pinning_fraction,Ridge,53,-2.4839793856523564
pinning_fraction,Ridge,54,-1.1620276253791715
pinning_fraction,Ridge,55,-2.092341713504078
pinning_fraction,Ridge,56,-1.2927980099487237
pinning_fraction,Ridge,57,-1.6468123070244733
pinning_fraction,Ridge,58,-2.804243419182421
pinning_fraction,Ridge,59,-1.5900312229078104
pinning_fraction,Ridge,60,-2.255711072592235
pinning_fraction,Ridge,61,0.033057354751786894
pinning_fraction,Ridge,62,-2.2093320982688973
pinning_fraction,Ridge,63,-1.6468123070244733
pinning_fraction,Ridge,64,0.033057354751786894
pinning_fraction,Ridge,65,-2.5912824410007658
pinning_fraction,Ridge,66,-0.4624332134160644
pinning_fraction,Ridge,67,-0.8834661407379787
pinning_fraction,Ridge,68,-1.512593677082177
pinning_fraction,Ridge,69,-1.577148378786376
pinning_fraction,Ridge,70,0.033057354751786894
pinning_fraction,Ridge,71,-1.58982060082889
pinning_fraction,Ridge,72,-1.0806523883200199
pinning_fraction,Ridge,73,0.030766691590050577
pinning_fraction,Ridge,74,-2.804243419182421
pinning_fraction,Ridge,75,-1.1984717569106693
pinning_fraction,Ridge,76,-1.6468123070244733
pinning_fraction,Ridge,77,-1.022964904615947
pinning_fraction,Ridge,78,-1.1620276253791715
pinning_fraction,Ridge,79,-0.4624332134160644
pinning_fraction,Ridge,80,-1.0806523883200199
pinning_fraction,Ridge,81,-2.29916651581924
pinning_fraction,Ridge,82,-1.1620276253791715
pinning_fraction,Ridge,83,-1.3099019849093334
pinning_fraction,Ridge,84,-0.9478021728208068
pinning_fraction,Ridge,85,-1.2821738247079866
pinning_fraction,Ridge,86,-1.1335312597933738
pinning_fraction,Ridge,87,-1.2688285120745473
pinning_fraction,Ridge,88,-1.0806523883200199
pinning_fraction,Ridge,89,-2.092341713504078
pinning_fraction,Ridge,90,-1.496353428850845
pinning_fraction,Ridge,91,-1.6621118329057183
pinning_fraction,Ridge,92,-0.2926354665026173
pinning_fraction,Ridge,93,-1.0497689528319343
pinning_fraction,Ridge,94,-0.9941233351454606
pinning_fraction,Ridge,95,-1.9400802237984325
pinning_fraction,Ridge,96,-2.255711072592235
pinning_fraction,Ridge,97,-1.1984717569106693
pinning_fraction,Ridge,98,-0.2926354665026173
pinning_fraction,Ridge,99,-0.45141866586939366
pinning_fraction,Ridge,100,-2.0104540438970724
pinning_fraction,Ridge,101,-1.496353428850845
pinning_fraction,Ridge,102,-2.3447320362579083
pinning_fraction,Ridge,103,-2.29916651581924
pinning_fraction,Ridge,104,-1.577148378786376
pinning_fraction,Ridge,105,0.030766691590050577
pinning_fraction,Ridge,106,-0.5039476937559355
pinning_fraction,Ridge,107,-2.0525455852757957
pinning_fraction,Ridge,108,-2.804243419182421
pinning_fraction,Ridge,109,-1.022964904615947
pinning_fraction,Ridge,110,-2.120956221875985
pinning_fraction,Ridge,111,-2.4839793856523564
pinning_fraction,Ridge,112,-1.58982060082889
pinning_fraction,Ridge,113,-2.064512935709138
pinning_fraction,Ridge,114,-1.6468123070244733
pinning_fraction,Ridge,115,-0.4624332134160644
pinning_fraction,Ridge,116,-2.3447320362579083
pinning_fraction,Ridge,117,-1.8481316647488326
pinning_fraction,Ridge,118,-1.496353428850845
pinning_fraction,Ridge,119,-1.577148378786376
pinning_fraction,Ridge,120,-2.9588530977811627
pinning_fraction,Ridge,121,-2.3447320362579083
pinning_fraction,Ridge,122,-1.2688285120745473
pinning_fraction,Ridge,123,-2.29916651581924
pinning_fraction,Ridge,124,-2.726733705844428
pinning_fraction,Ridge,125,-2.804243419182421
pinning_fraction,Ridge,126,-1.977514943944387
pinning_fraction,Ridge,127,-2.120956221875985
pinning_fraction,Ridge,128,0.030766691590050577
pinning_fraction,Ridge,129,-2.092341713504078
pinning_fraction,Ridge,130,-2.0104540438970724
pinning_fraction,Ridge,131,-1.2927980099487237
pinning_fraction,Ridge,132,-1.58982060082889
pinning_fraction,Ridge,133,-1.2927980099487237
pinning_fraction,Ridge,134,-1.977514943944387
pinning_fraction,Ridge,135,-2.618189455045367
pinning_fraction,Ridge,136,-2.2383088045423016
pinning_fraction,Ridge,137,-2.5912824410007658
pinning_fraction,Ridge,138,-2.0104540438970724
